year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.001314800901577761	7	5324
1985	0.0005249343832020997	3	5715
1986	0	0	5186
1987	0.00036569756811117204	2	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0.0007017543859649122	4	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0003356267830172848	2	5959
1994	0.0003317299718029524	2	6029
1995	0.0001556420233463035	1	6425
1996	0.0004540638716512789	3	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.00036478599221789884	3	8224
2001	0.00028805991646262423	2	6943
2002	0.0007670182166826462	4	5215
2003	0.0001389274798555154	1	7198
2004	0.000149655791679138	1	6682
2005	0.0008116883116883117	5	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.00008983111749910169	1	11132
2009	0.0002979737783075089	5	16780
2010	0.00013007284079084288	2	15376
2011	0.0002042483660130719	3	14688
2012	0.00017975912277548085	3	16689
2013	0.0002604573631296557	5	19197
