year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0.0008748906386701663	5	5715
1986	0.0005784805244890089	3	5186
1987	0.00018284878405558602	1	5469
1988	0	0	5507
1989	0.0003486750348675035	2	5736
1990	0.0005263157894736842	3	5700
1991	0.00016975046681378373	1	5891
1992	0	0	5978
1993	0.0001678133915086424	1	5959
1994	0.0003317299718029524	2	6029
1995	0	0	6425
1996	0	0	6607
1997	0	0	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00012159533073929961	1	8224
2001	0.00014402995823131211	1	6943
2002	0.0011505273250239693	6	5215
2003	0.0006946373992775772	5	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0.0023054755043227667	8	3470
2007	0.0023820867079561697	5	2099
2008	0.0031440891124685593	35	11132
2009	0.004171632896305125	70	16780
2010	0.005267950052029137	81	15376
2011	0.004833877995642701	71	14688
2012	0.004733656899754329	79	16689
2013	0.0028650309944262126	55	19197
